Airline,Source,Source Name,Destination,Destination Name,Departure Date & Time,Arrival Date & Time,Duration (hrs),Stopovers,Aircraft Type,Class,Booking Source,Base Fare (BDT),Tax & Surcharge (BDT),Total Fare (BDT),Seasonality,Days Before Departure
Air Astra,JSR,Jessore Airport,CGP,"Shah Amanat International Airport, Chittagong",2025-03-18 20:45:00,2025-03-18 21:42:00,0.9501040868794772,Direct,Airbus A320,First Class,Direct Booking,11377.010707482885,200.0,11577.010707482885,Regular,15.0
NovoAir,RJH,"Shah Makhdum Airport, Rajshahi",JED,"King Abdulaziz International Airport, Jeddah",2025-02-10 12:51:00,2025-02-10 18:11:31,5.341958274246209,1 Stop,Airbus A350,First Class,Online Website,257287.74612356696,42593.16191853504,299880.908042102,Regular,24.0
Qatar Airways,RJH,"Shah Makhdum Airport, Rajshahi",SIN,Singapore Changi Airport,2025-04-02 07:17:00,2025-04-02 10:39:37,3.377164362574689,Direct,Boeing 737,Business,Online Website,80650.36045467698,18097.55406820155,98747.91452287852,Eid,16.0
British Airways,CXB,Cox's Bazar Airport,JFK,"John F. Kennedy International Airport, New York",2025-10-28 20:30:00,2025-10-29 11:28:36,14.976929979002083,2 Stops,Boeing 777,First Class,Online Website,65817.90969633903,15872.686454450855,81690.59615078989,Regular,86.0
NovoAir,RJH,"Shah Makhdum Airport, Rajshahi",SIN,Singapore Changi Airport,2025-10-31 13:47:00,2025-10-31 17:02:20,3.255664777495184,Direct,Boeing 737,Economy,Travel Agency,54231.66303997172,14134.749455995758,68366.41249596748,Regular,47.0
Air India,ZYL,"Osmani International Airport, Sylhet",CXB,Cox's Bazar Airport,2025-11-07 16:28:00,2025-11-07 17:43:17,1.254781373602418,Direct,Airbus A320,First Class,Direct Booking,9947.482677326489,200.0,10147.482677326489,Regular,76.0
Malaysian Airlines,CXB,Cox's Bazar Airport,ZYL,"Osmani International Airport, Sylhet",2025-05-02 17:07:00,2025-05-02 18:20:24,1.2234908449729072,Direct,Airbus A320,Business,Travel Agency,4298.215929546729,200.0,4498.215929546729,Regular,64.0
Lufthansa,ZYL,"Osmani International Airport, Sylhet",JED,"King Abdulaziz International Airport, Jeddah",2025-12-02 14:39:00,2025-12-02 20:06:09,5.452550787780442,2 Stops,Airbus A350,First Class,Online Website,70800.98775748533,14620.1481636228,85421.13592110813,Winter Holidays,58.0
Malaysian Airlines,RJH,"Shah Makhdum Airport, Rajshahi",DAC,"Hazrat Shahjalal International Airport, Dhaka",2025-06-06 17:10:00,2025-06-06 17:47:15,0.6209251394724506,Direct,Airbus A320,Economy,Travel Agency,5145.744309521395,200.0,5345.744309521395,Hajj,25.0
Kuwait Airways,BZL,Barisal Airport,YYZ,Toronto Pearson International Airport,2025-08-26 06:10:00,2025-08-26 19:15:46,13.096119014178203,1 Stop,Boeing 777,Business,Online Website,30999.868467838925,10649.980270175838,41649.84873801476,Regular,74.0
Emirates,SPD,Saidpur Airport,CXB,Cox's Bazar Airport,2025-10-07 05:11:00,2025-10-07 06:09:14,0.97066555105211,Direct,Airbus A320,First Class,Travel Agency,10896.994476887194,200.0,11096.994476887194,Regular,68.0
Gulf Air,JSR,Jessore Airport,YYZ,Toronto Pearson International Airport,2025-04-06 21:52:00,2025-04-07 12:13:53,14.364883660673447,2 Stops,Airbus A350,Economy,Online Website,57322.548443338,14598.3822665007,71920.93070983869,Regular,37.0
Thai Airways,JSR,Jessore Airport,JFK,"John F. Kennedy International Airport, New York",2025-10-15 05:43:00,2025-10-15 21:01:23,15.306632034028572,1 Stop,Airbus A350,First Class,Online Website,171792.92344219057,31768.938516328584,203561.86195851915,Regular,46.0
Gulf Air,JSR,Jessore Airport,BZL,Barisal Airport,2025-07-24 00:29:00,2025-07-24 00:59:00,0.5,Direct,Airbus A320,First Class,Travel Agency,9387.536152000914,200.0,9587.536152000914,Regular,30.0
NovoAir,BZL,Barisal Airport,DOH,"Hamad International Airport, Doha",2025-07-29 09:51:00,2025-07-29 14:37:41,4.778095597307551,Direct,Boeing 787,First Class,Travel Agency,122716.08068910315,22407.412103365477,145123.49279246863,Regular,56.0
NovoAir,ZYL,"Osmani International Airport, Sylhet",DOH,"Hamad International Airport, Doha",2025-03-13 07:26:00,2025-03-13 11:54:22,4.472826089493855,Direct,Boeing 737,Business,Travel Agency,76271.09418393344,15440.664127590017,91711.75831152346,Regular,50.0
Singapore Airlines,JSR,Jessore Airport,RJH,"Shah Makhdum Airport, Rajshahi",2026-02-05 17:34:00,2026-02-05 18:04:00,0.5,Direct,Airbus A320,Business,Travel Agency,9574.9514432994,200.0,9774.9514432994,Winter Holidays,80.0
FlyDubai,DAC,"Hazrat Shahjalal International Airport, Dhaka",KUL,Kuala Lumpur International Airport,2026-01-31 15:18:00,2026-01-31 18:26:15,3.137684227859753,Direct,Boeing 737,First Class,Direct Booking,168054.064854759,31208.109728213847,199262.17458297283,Winter Holidays,33.0
Vistara,RJH,"Shah Makhdum Airport, Rajshahi",DEL,"Indira Gandhi International Airport, Delhi",2025-10-01 05:30:00,2025-10-01 07:40:54,2.181850939952469,Direct,Boeing 737,Economy,Direct Booking,61038.79957795707,11155.81993669356,72194.61951465064,Regular,48.0
Lufthansa,SPD,Saidpur Airport,DEL,"Indira Gandhi International Airport, Delhi",2025-04-17 04:11:00,2025-04-17 06:20:49,2.1636458246764203,Direct,Boeing 787,First Class,Online Website,101968.5331854016,17295.279977810238,119263.81316321185,Regular,27.0
Malaysian Airlines,SPD,Saidpur Airport,JSR,Jessore Airport,2025-09-02 01:06:00,2025-09-02 02:00:28,0.9079181901206108,Direct,Airbus A320,Economy,Direct Booking,4258.856088638257,200.0,4458.856088638257,Regular,5.0
IndiGo,DAC,"Hazrat Shahjalal International Airport, Dhaka",KUL,Kuala Lumpur International Airport,2025-12-19 02:05:00,2025-12-19 04:48:39,2.7276052704074085,Direct,Boeing 737,Business,Travel Agency,40834.80239900797,12125.220359851195,52960.022758859166,Winter Holidays,50.0
Biman Bangladesh Airlines,DAC,"Hazrat Shahjalal International Airport, Dhaka",DEL,"Indira Gandhi International Airport, Delhi",2025-03-18 02:26:00,2025-03-18 04:48:29,2.374829029797171,Direct,Boeing 737,Business,Direct Booking,136067.17874792006,22410.076812188006,190172.7066721297,Regular,3.0
Qatar Airways,RJH,"Shah Makhdum Airport, Rajshahi",YYZ,Toronto Pearson International Airport,2026-02-04 08:29:00,2026-02-04 23:17:18,14.80520182839382,1 Stop,Boeing 777,Business,Direct Booking,93431.65268695191,20014.747903042786,113446.40058999472,Winter Holidays,35.0
Saudia,CXB,Cox's Bazar Airport,JFK,"John F. Kennedy International Airport, New York",2025-05-25 22:29:00,2025-05-26 12:47:21,14.30596972490246,1 Stop,Boeing 777,Economy,Travel Agency,36421.41547206588,11463.212320809882,47884.62779287576,Regular,32.0
Lufthansa,SPD,Saidpur Airport,IST,Istanbul Airport,2025-10-11 04:58:00,2025-10-11 11:37:31,6.65864996615846,1 Stop,Boeing 777,First Class,Online Website,36937.37060998863,9540.605591498294,46477.97620148693,Regular,75.0
Kuwait Airways,ZYL,"Osmani International Airport, Sylhet",CCU,"Netaji Subhas Chandra Bose International Airport, Kolkata",2025-08-01 08:15:00,2025-08-01 09:48:23,1.556450295217683,Direct,Airbus A320,Economy,Online Website,49137.77303776768,9370.66595566515,58508.43899343283,Regular,55.0
Kuwait Airways,RJH,"Shah Makhdum Airport, Rajshahi",ZYL,"Osmani International Airport, Sylhet",2025-08-07 22:30:00,2025-08-07 23:41:13,1.1871237574538027,Direct,Airbus A320,First Class,Direct Booking,10967.443465200293,200.0,11167.443465200293,Regular,50.0
FlyDubai,CGP,"Shah Amanat International Airport, Chittagong",YYZ,Toronto Pearson International Airport,2026-01-03 21:59:00,2026-01-04 10:41:52,12.714648850639328,1 Stop,Boeing 777,Business,Online Website,40526.48765510772,12078.973148266155,52605.46080337388,Winter Holidays,90.0
US-Bangla Airlines,ZYL,"Osmani International Airport, Sylhet",JFK,"John F. Kennedy International Airport, New York",2025-11-10 17:40:00,2025-11-11 08:34:15,14.904334044385315,1 Stop,Airbus A350,Economy,Travel Agency,17218.01145255129,8582.701717882694,25800.713170433984,Regular,31.0
Air Arabia,DAC,"Hazrat Shahjalal International Airport, Dhaka",BKK,"Suvarnabhumi Airport, Bangkok",2025-05-10 09:28:00,2025-05-10 11:55:24,2.45686406140892,1 Stop,Boeing 737,Business,Direct Booking,63877.14429208046,15581.571643812067,79458.71593589253,Regular,55.0
Air Arabia,BZL,Barisal Airport,DXB,Dubai International Airport,2025-02-16 19:00:00,2025-02-16 23:07:48,4.130120914259002,Direct,Boeing 787,First Class,Online Website,206490.69932883684,34973.604899325524,241464.3042281624,Regular,45.0
Saudia,JSR,Jessore Airport,RJH,"Shah Makhdum Airport, Rajshahi",2025-06-21 16:56:00,2025-06-21 17:26:10,0.5028068136725424,Direct,Airbus A320,First Class,Travel Agency,10993.301328472118,200.0,11193.301328472118,Regular,51.0
NovoAir,ZYL,"Osmani International Airport, Sylhet",JED,"King Abdulaziz International Airport, Jeddah",2025-04-30 14:22:00,2025-04-30 20:11:56,5.832355737566912,1 Stop,Boeing 777,First Class,Travel Agency,25890.95240722004,7883.642861083006,33774.59526830305,Regular,32.0
US-Bangla Airlines,BZL,Barisal Airport,JED,"King Abdulaziz International Airport, Jeddah",2025-08-31 16:09:00,2025-08-31 22:30:41,6.361496031347782,1 Stop,Boeing 777,First Class,Online Website,181289.30533414817,31193.395800122224,212482.7011342704,Regular,55.0
Air India,CGP,"Shah Amanat International Airport, Chittagong",SPD,Saidpur Airport,2025-06-28 19:18:00,2025-06-28 20:53:35,1.5931117784172608,Direct,Airbus A320,First Class,Direct Booking,8094.038024885387,200.0,8294.038024885387,Regular,89.0
Emirates,ZYL,"Osmani International Airport, Sylhet",YYZ,Toronto Pearson International Airport,2026-01-27 11:36:00,2026-01-28 01:32:02,13.934085959591666,1 Stop,Boeing 777,Business,Direct Booking,25628.632174233702,9844.294826135056,35472.92700036876,Winter Holidays,54.0
Lufthansa,CGP,"Shah Amanat International Airport, Chittagong",DXB,Dubai International Airport,2025-04-22 08:39:00,2025-04-22 12:57:19,4.305394944100913,Direct,Boeing 787,First Class,Online Website,219219.2317555525,36882.88476333288,256102.1165188854,Regular,33.0
Biman Bangladesh Airlines,ZYL,"Osmani International Airport, Sylhet",JED,"King Abdulaziz International Airport, Jeddah",2025-08-02 18:51:00,2025-08-03 00:30:43,5.662170526167195,2 Stops,Boeing 777,Business,Direct Booking,115402.03554695671,21310.30533204351,136712.34087900023,Regular,67.0
FlyDubai,JSR,Jessore Airport,ZYL,"Osmani International Airport, Sylhet",2025-09-26 16:38:00,2025-09-26 17:46:57,1.149389159325001,Direct,Airbus A320,Economy,Direct Booking,1959.329754181496,200.0,2159.329754181496,Regular,60.0
FlyDubai,RJH,"Shah Makhdum Airport, Rajshahi",ZYL,"Osmani International Airport, Sylhet",2025-09-19 04:14:00,2025-09-19 05:22:25,1.1405176740564988,Direct,Airbus A320,Economy,Online Website,3762.305919791155,200.0,3962.305919791155,Regular,50.0
Emirates,CGP,"Shah Amanat International Airport, Chittagong",SPD,Saidpur Airport,2025-07-29 22:30:00,2025-07-30 00:06:10,1.602811353344755,Direct,Airbus A320,Business,Travel Agency,7848.054191105865,200.0,8048.054191105865,Regular,64.0
Cathay Pacific,DAC,"Hazrat Shahjalal International Airport, Dhaka",JSR,Jessore Airport,2025-10-07 03:29:00,2025-10-07 03:59:32,0.5089253792923821,Direct,Airbus A320,First Class,Online Website,14976.480205898628,200.0,15176.480205898628,Regular,23.0
SriLankan Airlines,DAC,"Hazrat Shahjalal International Airport, Dhaka",SIN,Singapore Changi Airport,2025-01-23 00:16:00,2025-01-23 03:44:58,3.4829292254382973,Direct,Boeing 787,First Class,Online Website,261665.50213007996,45249.82531951199,368298.3929395104,Regular,1.0
Emirates,SPD,Saidpur Airport,BZL,Barisal Airport,2025-07-13 16:57:00,2025-07-13 18:14:16,1.2879455927482624,Direct,Airbus A320,Economy,Online Website,3132.5428826704406,200.0,3332.5428826704406,Regular,75.0
Singapore Airlines,CGP,"Shah Amanat International Airport, Chittagong",SIN,Singapore Changi Airport,2025-10-30 07:47:00,2025-10-30 10:48:37,3.027043255312462,1 Stop,Boeing 787,Economy,Travel Agency,43086.08176312514,12462.91226446877,55548.99402759392,Regular,85.0
Turkish Airlines,SPD,Saidpur Airport,SIN,Singapore Changi Airport,2025-06-05 19:03:00,2025-06-05 22:28:54,3.4317369464807785,Direct,Boeing 787,Business,Travel Agency,185502.4741175184,33825.37111762776,219327.8452351461,Hajj,30.0
Kuwait Airways,DAC,"Hazrat Shahjalal International Airport, Dhaka",KUL,Kuala Lumpur International Airport,2025-11-13 07:54:00,2025-11-13 10:57:18,3.05506111629295,Direct,Boeing 787,First Class,Travel Agency,199957.32975962444,35993.59946394367,235950.9292235681,Regular,86.0
Etihad Airways,DAC,"Hazrat Shahjalal International Airport, Dhaka",SIN,Singapore Changi Airport,2025-05-09 12:58:00,2025-05-09 16:20:06,3.3685806940602947,1 Stop,Boeing 737,Economy,Online Website,8513.594709343393,7277.039206401509,15790.633915744902,Regular,73.0
Cathay Pacific,SPD,Saidpur Airport,LHR,London Heathrow Airport,2025-04-08 05:16:00,2025-04-08 14:04:55,8.815407341606852,2 Stops,Airbus A350,Economy,Travel Agency,27283.725281958985,10092.558792293848,37376.28407425284,Regular,8.0
Gulf Air,RJH,"Shah Makhdum Airport, Rajshahi",JFK,"John F. Kennedy International Airport, New York",2025-05-04 15:16:00,2025-05-05 05:18:32,14.04226202539918,1 Stop,Airbus A350,First Class,Online Website,64439.36902848324,15665.905354272483,80105.27438275573,Regular,68.0
Biman Bangladesh Airlines,CXB,Cox's Bazar Airport,SPD,Saidpur Airport,2025-03-08 21:34:00,2025-03-08 22:30:06,0.9352035774297964,Direct,Airbus A320,Economy,Travel Agency,4126.062047143788,200.0,5191.274456572545,Regular,1.0
Thai Airways,CXB,Cox's Bazar Airport,DEL,"Indira Gandhi International Airport, Delhi",2025-06-19 23:56:00,2025-06-20 02:34:35,2.6431571978588337,Direct,Boeing 787,Business,Online Website,19750.577560961952,4962.5866341442925,24713.164195106245,Regular,67.0
Etihad Airways,RJH,"Shah Makhdum Airport, Rajshahi",DEL,"Indira Gandhi International Airport, Delhi",2025-07-01 02:02:00,2025-07-01 04:01:38,1.9941287782028732,1 Stop,Boeing 737,Economy,Travel Agency,53881.749545163446,10082.262431774518,63964.01197693797,Regular,88.0
SriLankan Airlines,BZL,Barisal Airport,JED,"King Abdulaziz International Airport, Jeddah",2025-12-19 01:09:00,2025-12-19 06:30:59,5.366547715859479,2 Stops,Airbus A350,Economy,Online Website,44213.03232957302,10631.954849435951,54844.98717900897,Winter Holidays,24.0
Malaysian Airlines,JSR,Jessore Airport,JFK,"John F. Kennedy International Airport, New York",2025-10-04 13:53:00,2025-10-05 03:20:23,13.456554933250054,1 Stop,Boeing 777,First Class,Travel Agency,257027.41621468263,44554.11243220239,301581.528646885,Regular,29.0
Kuwait Airways,JSR,Jessore Airport,BZL,Barisal Airport,2026-01-20 17:33:00,2026-01-20 18:03:00,0.5,Direct,Airbus A320,Business,Direct Booking,5375.274356453675,200.0,5575.274356453675,Winter Holidays,65.0
Air India,JSR,Jessore Airport,SIN,Singapore Changi Airport,2025-06-23 03:45:00,2025-06-23 07:00:19,3.255525153451273,Direct,Boeing 737,Business,Travel Agency,72339.23706222,16850.885559333,89190.12262155299,Regular,15.0
FlyDubai,RJH,"Shah Makhdum Airport, Rajshahi",KUL,Kuala Lumpur International Airport,2025-09-21 20:27:00,2025-09-21 23:18:28,2.857948500928641,Direct,Boeing 787,First Class,Travel Agency,114637.18525726034,23195.57778858905,137832.7630458494,Regular,48.0
Cathay Pacific,RJH,"Shah Makhdum Airport, Rajshahi",DEL,"Indira Gandhi International Airport, Delhi",2025-10-02 04:52:00,2025-10-02 06:44:45,1.8792006000893176,Direct,Boeing 737,Economy,Direct Booking,44172.405939512646,8625.860890926897,52798.26683043954,Regular,59.0
Air Astra,BZL,Barisal Airport,YYZ,Toronto Pearson International Airport,2026-02-27 12:12:00,2026-02-28 02:33:55,14.36536075412624,1 Stop,Airbus A350,First Class,Direct Booking,161250.86096767074,30187.62914515061,191438.4901128213,Winter Holidays,70.0
Singapore Airlines,CXB,Cox's Bazar Airport,ZYL,"Osmani International Airport, Sylhet",2025-12-27 06:15:00,2025-12-27 07:31:33,1.2758948435039736,Direct,Airbus A320,Economy,Direct Booking,2739.74191013586,200.0,2939.74191013586,Winter Holidays,32.0
Air Arabia,RJH,"Shah Makhdum Airport, Rajshahi",SIN,Singapore Changi Airport,2025-09-23 04:35:00,2025-09-23 08:03:48,3.4801421679124456,Direct,Boeing 737,First Class,Direct Booking,34495.651385554884,11174.347707833233,45669.99909338812,Regular,6.0
Etihad Airways,CXB,Cox's Bazar Airport,JFK,"John F. Kennedy International Airport, New York",2026-03-30 08:34:00,2026-03-30 22:26:42,13.878418136352328,1 Stop,Boeing 777,Business,Online Website,62262.90263608331,15339.435395412496,77602.3380314958,Regular,89.0
Air India,SPD,Saidpur Airport,DEL,"Indira Gandhi International Airport, Delhi",2025-04-28 11:41:00,2025-04-28 13:48:32,2.1256120511140657,1 Stop,Boeing 737,Economy,Travel Agency,26138.71005229185,5920.806507843778,32059.516560135635,Regular,5.0
AirAsia,RJH,"Shah Makhdum Airport, Rajshahi",DXB,Dubai International Airport,2025-02-18 08:09:00,2025-02-18 11:57:53,3.8148908671305786,Direct,Boeing 787,Economy,Travel Agency,33385.7212589274,9007.858188839107,42393.5794477665,Regular,9.0
Kuwait Airways,SPD,Saidpur Airport,JSR,Jessore Airport,2025-11-07 01:17:00,2025-11-07 02:15:44,0.9789293643967693,Direct,Airbus A320,Economy,Direct Booking,4192.240493906933,200.0,4392.240493906933,Regular,14.0
Biman Bangladesh Airlines,JSR,Jessore Airport,CXB,Cox's Bazar Airport,2025-11-14 10:37:00,2025-11-14 11:41:09,1.0694113323327112,Direct,Airbus A320,Economy,Direct Booking,2519.55054548596,200.0,2719.55054548596,Regular,90.0
Air India,CGP,"Shah Amanat International Airport, Chittagong",RJH,"Shah Makhdum Airport, Rajshahi",2025-09-10 06:08:00,2025-09-10 07:29:24,1.3568326553532517,Direct,Airbus A320,Business,Travel Agency,5347.342325076671,200.0,5547.342325076671,Regular,7.0
Air Arabia,BZL,Barisal Airport,CCU,"Netaji Subhas Chandra Bose International Airport, Kolkata",2026-01-11 07:04:00,2026-01-11 07:39:56,0.5989848758809667,Direct,Airbus A320,Economy,Direct Booking,70086.76867728242,12513.015301592362,82599.78397887478,Winter Holidays,56.0
Biman Bangladesh Airlines,BZL,Barisal Airport,LHR,London Heathrow Airport,2025-05-23 23:10:00,2025-05-24 08:40:16,9.50454538494558,1 Stop,Boeing 777,First Class,Travel Agency,259575.8366340724,44936.375495110864,304512.2121291833,Regular,12.0
IndiGo,CXB,Cox's Bazar Airport,LHR,London Heathrow Airport,2025-08-29 09:27:00,2025-08-29 19:37:12,10.170049412976564,1 Stop,Airbus A350,First Class,Travel Agency,137102.08515243095,26565.312772864643,163667.3979252956,Regular,84.0
Air Arabia,CGP,"Shah Amanat International Airport, Chittagong",JSR,Jessore Airport,2026-03-06 12:36:00,2026-03-06 13:29:13,0.8870841518157538,Direct,Airbus A320,Business,Online Website,7546.630581440972,200.0,7746.630581440972,Regular,77.0
Vistara,BZL,Barisal Airport,KUL,Kuala Lumpur International Airport,2026-02-26 19:01:00,2026-02-26 21:51:03,2.834186264500168,Direct,Boeing 787,Business,Online Website,97355.7992539152,20603.36988808728,117959.16914200249,Winter Holidays,86.0
Thai Airways,CXB,Cox's Bazar Airport,DOH,"Hamad International Airport, Doha",2025-07-03 11:17:00,2025-07-03 16:12:00,4.916832195715358,Direct,Boeing 737,First Class,Travel Agency,192169.6209761773,32825.443146426594,224995.06412260392,Regular,73.0
Qatar Airways,CGP,"Shah Amanat International Airport, Chittagong",DEL,"Indira Gandhi International Airport, Delhi",2025-08-26 22:32:00,2025-08-27 01:09:36,2.626892138298526,Direct,Boeing 787,Economy,Direct Booking,51426.337029299495,9713.950554394924,61140.287583694415,Regular,25.0
British Airways,JSR,Jessore Airport,IST,Istanbul Airport,2025-09-22 21:06:00,2025-09-23 03:20:57,6.2494149215174,1 Stop,Boeing 777,Economy,Direct Booking,42015.81958134771,10302.372937202155,52318.19251854986,Regular,23.0
Kuwait Airways,ZYL,"Osmani International Airport, Sylhet",SIN,Singapore Changi Airport,2025-09-19 18:00:00,2025-09-19 21:31:26,3.5241293276614187,Direct,Boeing 737,First Class,Direct Booking,58265.152306135446,14739.772845920315,73004.92515205576,Regular,31.0
Vistara,ZYL,"Osmani International Airport, Sylhet",SIN,Singapore Changi Airport,2026-01-03 23:50:00,2026-01-04 03:10:19,3.338660027560908,1 Stop,Boeing 787,First Class,Online Website,48302.68914629101,13245.403371943652,61548.09251823467,Winter Holidays,49.0
Qatar Airways,DAC,"Hazrat Shahjalal International Airport, Dhaka",CGP,"Shah Amanat International Airport, Chittagong",2025-09-03 17:31:00,2025-09-03 18:17:11,0.7697802699568432,Direct,Airbus A320,First Class,Travel Agency,11531.657476853998,200.0,11731.657476853998,Regular,42.0
Singapore Airlines,RJH,"Shah Makhdum Airport, Rajshahi",SIN,Singapore Changi Airport,2025-01-21 14:15:00,2025-01-21 17:37:31,3.375289813604085,Direct,Boeing 787,First Class,Travel Agency,166781.20663983485,31017.180995975225,237358.065162972,Regular,2.0
British Airways,JSR,Jessore Airport,YYZ,Toronto Pearson International Airport,2025-04-24 22:02:00,2025-04-25 13:18:06,15.268403767494576,1 Stop,Boeing 777,Economy,Online Website,50715.74829608024,13607.362244412036,64323.11054049227,Regular,61.0
NovoAir,RJH,"Shah Makhdum Airport, Rajshahi",JSR,Jessore Airport,2025-04-09 08:29:00,2025-04-09 09:01:53,0.5481776712259062,Direct,Airbus A320,Business,Online Website,4569.248324951815,200.0,4769.248324951815,Regular,74.0
Air India,SPD,Saidpur Airport,JSR,Jessore Airport,2025-05-05 05:53:00,2025-05-05 06:47:50,0.9140809742503908,Direct,Airbus A320,Business,Direct Booking,5315.294676686067,200.0,5515.294676686067,Regular,74.0
Qatar Airways,CXB,Cox's Bazar Airport,DXB,Dubai International Airport,2026-03-15 12:19:00,2026-03-15 16:26:24,4.123553503309823,Direct,Boeing 787,Economy,Direct Booking,45357.83614676686,10803.675422015029,56161.51156878189,Regular,85.0
Qatar Airways,SPD,Saidpur Airport,JSR,Jessore Airport,2025-11-03 23:24:00,2025-11-04 00:20:33,0.9426791021138008,Direct,Airbus A320,Business,Online Website,4728.899977340766,200.0,4928.899977340766,Regular,34.0
Air India,JSR,Jessore Airport,SPD,Saidpur Airport,2025-08-08 20:46:00,2025-08-08 21:45:50,0.9974465200417872,Direct,Airbus A320,First Class,Direct Booking,14027.7290391131,200.0,17073.274846935718,Regular,1.0
AirAsia,RJH,"Shah Makhdum Airport, Rajshahi",ZYL,"Osmani International Airport, Sylhet",2026-02-09 02:28:00,2026-02-09 03:39:37,1.1937489562481836,Direct,Airbus A320,First Class,Direct Booking,10896.431429080954,200.0,11096.431429080954,Winter Holidays,46.0
Etihad Airways,RJH,"Shah Makhdum Airport, Rajshahi",CGP,"Shah Amanat International Airport, Chittagong",2025-06-27 01:26:00,2025-06-27 02:47:57,1.3658466974483745,Direct,Airbus A320,First Class,Travel Agency,13933.10014236937,200.0,14133.10014236937,Regular,25.0
British Airways,BZL,Barisal Airport,JFK,"John F. Kennedy International Airport, New York",2025-10-27 09:08:00,2025-10-27 23:18:25,14.17362620988372,1 Stop,Boeing 777,First Class,Travel Agency,192264.95002604605,34839.742503906906,227104.69252995297,Regular,84.0
AirAsia,CXB,Cox's Bazar Airport,CCU,"Netaji Subhas Chandra Bose International Airport, Kolkata",2025-11-28 18:09:00,2025-11-28 19:25:41,1.2780962052440314,Direct,Airbus A320,Economy,Travel Agency,50414.21547851347,9562.13232177702,71971.61736034858,Regular,3.0
Saudia,RJH,"Shah Makhdum Airport, Rajshahi",SPD,Saidpur Airport,2025-11-12 04:27:00,2025-11-12 04:57:00,0.5,Direct,Airbus A320,Business,Online Website,9150.4692555886,200.0,9350.4692555886,Regular,6.0
Etihad Airways,CGP,"Shah Amanat International Airport, Chittagong",CCU,"Netaji Subhas Chandra Bose International Airport, Kolkata",2025-08-09 00:18:00,2025-08-09 01:32:05,1.2349597412096354,Direct,Airbus A320,Business,Travel Agency,43616.78842314533,8542.5182634718,52159.30668661713,Regular,39.0
Air India,DAC,"Hazrat Shahjalal International Airport, Dhaka",JFK,"John F. Kennedy International Airport, New York",2025-11-09 07:13:00,2025-11-09 22:31:07,15.30202151359497,1 Stop,Airbus A350,Business,Travel Agency,64468.00876406144,15670.201314609216,80138.21007867066,Regular,83.0
IndiGo,BZL,Barisal Airport,JFK,"John F. Kennedy International Airport, New York",2025-12-04 21:34:00,2025-12-05 12:42:33,15.14273885358062,1 Stop,Boeing 777,First Class,Online Website,128174.91485999276,25226.237228998914,153401.15208899166,Winter Holidays,50.0
Air Astra,CXB,Cox's Bazar Airport,DOH,"Hamad International Airport, Doha",2025-12-02 10:28:00,2025-12-02 15:16:45,4.812616768765249,Direct,Boeing 787,First Class,Direct Booking,120452.33368695156,22067.85005304273,142520.18373999427,Winter Holidays,20.0
FlyDubai,JSR,Jessore Airport,DAC,"Hazrat Shahjalal International Airport, Dhaka",2025-12-15 14:20:00,2025-12-15 14:50:00,0.5,Direct,Airbus A320,Economy,Online Website,4301.831601045382,200.0,4501.831601045382,Winter Holidays,10.0
Singapore Airlines,SPD,Saidpur Airport,JSR,Jessore Airport,2025-12-09 18:05:00,2025-12-09 19:01:58,0.949450592824836,Direct,Airbus A320,Economy,Direct Booking,4444.97112111058,200.0,4644.97112111058,Winter Holidays,90.0
FlyDubai,CGP,"Shah Amanat International Airport, Chittagong",DOH,"Hamad International Airport, Doha",2025-03-22 04:30:00,2025-03-22 09:13:30,4.725210962188735,1 Stop,Boeing 737,Business,Online Website,83988.43524079474,16598.26528611921,100586.70052691396,Regular,7.0
FlyDubai,ZYL,"Osmani International Airport, Sylhet",DEL,"Indira Gandhi International Airport, Delhi",2025-12-26 05:34:00,2025-12-26 08:04:03,2.5010145250929816,Direct,Boeing 737,First Class,Direct Booking,82715.78661526722,14407.367992290085,97123.1546075573,Winter Holidays,49.0
NovoAir,JSR,Jessore Airport,CGP,"Shah Amanat International Airport, Chittagong",2025-12-24 22:32:00,2025-12-24 23:28:22,0.9397057628487814,Direct,Airbus A320,Economy,Online Website,4689.579972500654,200.0,4889.579972500654,Winter Holidays,61.0
AirAsia,RJH,"Shah Makhdum Airport, Rajshahi",ZYL,"Osmani International Airport, Sylhet",2025-05-01 08:16:00,2025-05-01 09:28:59,1.2165135933035265,Direct,Airbus A320,Business,Travel Agency,5425.45960761818,200.0,5625.45960761818,Regular,76.0
Air India,CXB,Cox's Bazar Airport,SIN,Singapore Changi Airport,2025-11-01 17:13:00,2025-11-01 20:19:02,3.100557463428872,Direct,Boeing 737,Economy,Online Website,37701.30884111964,11655.196326167945,49356.50516728759,Regular,35.0
British Airways,ZYL,"Osmani International Airport, Sylhet",DAC,"Hazrat Shahjalal International Airport, Dhaka",2025-08-02 08:40:00,2025-08-02 09:19:06,0.6517600536792986,Direct,Airbus A320,Business,Online Website,9537.393173941684,200.0,9737.393173941684,Regular,9.0
Singapore Airlines,JSR,Jessore Airport,DAC,"Hazrat Shahjalal International Airport, Dhaka",2025-09-21 20:50:00,2025-09-21 21:20:00,0.5,Direct,Airbus A320,Business,Travel Agency,6650.511957537304,200.0,6850.511957537304,Regular,13.0
